Audience_ID,Age_Group,Gender,Device,Location,Campaign_ID
1,25-34,Unknown,Mobile,London,1
2,18-24,Male,Desktop,London,1
3,35-44,Unknown,Mobile,Delhi,1
4,45-54,Male,Mobile,Tokyo,1
5,18-24,Unknown,Desktop,London,1
6,18-24,Female,Tablet,New York,1
7,35-44,Female,Desktop,Tokyo,1
8,45-54,Male,Tablet,London,1
9,55+,Female,Desktop,London,2
10,55+,Unknown,Mobile,Sydney,2
11,35-44,Male,Tablet,Chicago,2
12,55+,Unknown,Mobile,Tokyo,2
13,35-44,Unknown,Mobile,Houston,2
14,55+,Male,Desktop,Houston,2
15,25-34,Unknown,Tablet,Berlin,2
16,35-44,Unknown,Tablet,London,2
17,45-54,Unknown,Mobile,London,2
18,55+,Unknown,Tablet,Berlin,3
19,35-44,Female,Tablet,Berlin,3
20,35-44,Female,Mobile,Tokyo,3
21,45-54,Unknown,Mobile,London,3
22,55+,Female,Tablet,Tokyo,3
23,45-54,Female,Mobile,Houston,3
24,18-24,Male,Mobile,London,3
25,18-24,Female,Tablet,London,3
26,45-54,Female,Desktop,Miami,3
27,18-24,Unknown,Mobile,Delhi,4
28,45-54,Female,Desktop,Tokyo,4
29,25-34,Unknown,Mobile,Houston,4
30,45-54,Female,Tablet,Chicago,4
31,18-24,Male,Tablet,Houston,4
32,18-24,Male,Desktop,New York,4
33,18-24,Unknown,Desktop,Houston,4
34,18-24,Unknown,Tablet,Miami,4
35,45-54,Female,Desktop,Berlin,4
36,45-54,Female,Mobile,Los Angeles,4
37,45-54,Male,Mobile,Houston,5
38,35-44,Male,Mobile,Los Angeles,5
39,25-34,Female,Tablet,Chicago,5
40,35-44,Male,Desktop,Chicago,5
41,55+,Unknown,Mobile,Tokyo,5
42,55+,Unknown,Mobile,Sydney,5
43,45-54,Unknown,Mobile,Houston,5
44,18-24,Male,Desktop,Sydney,5
45,18-24,Male,Mobile,Tokyo,5
46,18-24,Male,Mobile,New York,6
47,45-54,Unknown,Mobile,Miami,6
48,45-54,Male,Mobile,New York,6
49,55+,Female,Desktop,Sydney,6
50,45-54,Unknown,Tablet,Berlin,6
51,55+,Unknown,Mobile,Los Angeles,6
52,45-54,Male,Tablet,New York,6
53,45-54,Female,Mobile,Berlin,6
54,18-24,Male,Mobile,Sydney,6
55,55+,Unknown,Desktop,Los Angeles,7
56,35-44,Male,Tablet,New York,7
57,45-54,Male,Desktop,Berlin,7
58,18-24,Female,Desktop,New York,7
59,25-34,Unknown,Tablet,Berlin,7
60,25-34,Female,Desktop,Houston,7
61,25-34,Male,Tablet,Chicago,8
62,45-54,Female,Tablet,Los Angeles,8
63,35-44,Female,Mobile,New York,8
64,35-44,Female,Desktop,Berlin,8
